Temperature,OrderMean,OrderStd
0.00,0.412190,0.002776
0.05,0.986962,0.001973
0.10,0.973590,0.003690
0.15,0.959892,0.005264
0.20,0.943825,0.008860
0.25,0.933385,0.012352
0.30,0.920625,0.009561
0.35,0.901732,0.014764
0.40,0.884816,0.015341
0.45,0.870750,0.019451
0.50,0.840579,0.027990
0.55,0.833998,0.021063
0.60,0.807727,0.030977
0.65,0.793168,0.031113
0.70,0.753311,0.042294
0.75,0.727333,0.063042
0.80,0.695027,0.047448
0.85,0.503693,0.129977
0.90,0.475379,0.108434
0.95,0.411183,0.075035
1.00,0.367376,0.065492
1.05,0.380894,0.063324
1.10,0.366723,0.061251
1.15,0.354805,0.051789
1.20,0.333729,0.045421
1.25,0.336814,0.045999
1.30,0.333677,0.042167
1.35,0.328297,0.040615
1.40,0.319938,0.037368
1.45,0.319842,0.035758
1.50,0.319888,0.036624
1.55,0.315745,0.034323
1.60,0.315985,0.033254
