MCS,Energy,Order
00000,-2506.1079,0.2615
00001,-3840.3355,0.2574
00002,-4517.8895,0.2722
00003,-5028.2253,0.2765
00004,-5355.0955,0.2811
00005,-5634.0144,0.2809
00006,-5866.9682,0.2741
00007,-6061.2821,0.2827
00008,-6235.3925,0.2891
00009,-6340.1877,0.2863
00010,-6431.4787,0.2840
00011,-6545.8620,0.2828
00012,-6666.3225,0.2826
00013,-6718.3219,0.2810
00014,-6829.1486,0.2619
00015,-6943.4434,0.2726
00016,-6994.5936,0.2734
00017,-7068.3437,0.2712
00018,-7144.6362,0.2735
00019,-7156.9386,0.2719
00020,-7183.0531,0.2663
00021,-7217.4063,0.2558
00022,-7318.1022,0.2539
00023,-7343.5266,0.2606
00024,-7292.7155,0.2674
00025,-7371.5469,0.2756
00026,-7392.2581,0.2837
00027,-7476.5897,0.2872
00028,-7461.6157,0.2921
00029,-7447.1732,0.2885
00030,-7462.5041,0.2862
00031,-7461.0161,0.2954
00032,-7443.4670,0.2996
00033,-7548.8069,0.3001
00034,-7530.1889,0.2998
00035,-7514.9100,0.3038
00036,-7505.4841,0.3005
00037,-7500.2486,0.2983
00038,-7525.0652,0.2874
00039,-7545.7391,0.2930
00040,-7533.2254,0.2998
00041,-7579.0599,0.2992
00042,-7611.8224,0.2984
00043,-7634.8175,0.2970
00044,-7658.1230,0.3011
00045,-7636.7775,0.3090
00046,-7744.7733,0.3122
00047,-7714.9508,0.3193
00048,-7701.5716,0.3168
00049,-7640.8408,0.3129
00050,-7693.6020,0.3089
00051,-7661.4269,0.3067
00052,-7630.5428,0.3086
00053,-7635.9297,0.3170
00054,-7669.6232,0.3289
00055,-7672.6664,0.3282
00056,-7633.3187,0.3227
00057,-7710.2702,0.3210
00058,-7710.8887,0.3223
00059,-7707.6153,0.3222
00060,-7669.8393,0.3234
00061,-7667.9591,0.3192
00062,-7626.5800,0.3101
00063,-7655.3015,0.3094
00064,-7671.6040,0.3047
00065,-7673.0667,0.3090
00066,-7699.3298,0.3097
00067,-7725.1278,0.3151
00068,-7716.1767,0.3119
00069,-7727.9745,0.3122
00070,-7778.2218,0.3157
00071,-7755.1877,0.3137
00072,-7750.5972,0.3143
00073,-7692.0621,0.3096
00074,-7738.9887,0.3155
00075,-7721.1782,0.3078
00076,-7785.1464,0.3068
00077,-7765.0399,0.3143
00078,-7753.2634,0.3144
00079,-7776.1444,0.3112
00080,-7728.1887,0.3159
00081,-7703.7129,0.3167
00082,-7746.8854,0.3306
00083,-7751.4498,0.3265
00084,-7752.4849,0.3293
00085,-7715.5015,0.3261
00086,-7656.7081,0.3253
00087,-7676.0488,0.3235
00088,-7720.8750,0.3179
00089,-7696.7533,0.3151
00090,-7666.9407,0.3110
00091,-7684.4000,0.3111
00092,-7682.4279,0.3108
00093,-7640.6895,0.3092
00094,-7642.3810,0.3092
00095,-7620.8859,0.3164
00096,-7686.3833,0.3068
00097,-7680.7856,0.3058
00098,-7728.9859,0.3018
00099,-7741.2885,0.2988
00100,-7689.9850,0.2975
00101,-7711.9242,0.2985
00102,-7764.3080,0.2986
00103,-7808.9693,0.2990
00104,-7820.5158,0.2997
00105,-7794.8286,0.2928
00106,-7744.9980,0.2905
00107,-7787.8756,0.2994
00108,-7823.0102,0.2895
00109,-7820.0250,0.2995
00110,-7849.1872,0.3074
00111,-7865.9108,0.3005
00112,-7848.5089,0.2928
00113,-7837.1149,0.2933
00114,-7759.7885,0.2937
00115,-7786.5217,0.2930
00116,-7788.9424,0.2982
00117,-7741.9539,0.3075
00118,-7755.8034,0.3016
00119,-7813.7850,0.3000
00120,-7781.4147,0.3010
00121,-7771.2357,0.3103
